,close,date,time
2020-11-24 09:50:00,254.87,2020-11-24,0950
2020-11-24 09:55:00,254.0,2020-11-24,0955
2020-11-24 10:00:00,253.98,2020-11-24,1000
2020-11-24 10:05:00,252.9,2020-11-24,1005
2020-11-24 10:10:00,252.9,2020-11-24,1010
2020-11-24 10:15:00,253.74,2020-11-24,1015
2020-11-24 10:20:00,253.97,2020-11-24,1020
2020-11-24 10:25:00,254.7,2020-11-24,1025
2020-11-24 10:30:00,254.61,2020-11-24,1030
2020-11-24 10:35:00,255.02,2020-11-24,1035
2020-11-24 10:40:00,254.51,2020-11-24,1040
2020-11-24 10:45:00,255.1,2020-11-24,1045
2020-11-24 10:50:00,255.5,2020-11-24,1050
2020-11-24 10:55:00,255.5,2020-11-24,1055
2020-11-24 11:00:00,255.12,2020-11-24,1100
2020-11-24 11:05:00,254.78,2020-11-24,1105
2020-11-24 11:10:00,254.97,2020-11-24,1110
2020-11-24 11:15:00,254.97,2020-11-24,1115
2020-11-24 11:20:00,255.1,2020-11-24,1120
2020-11-24 11:25:00,255.68,2020-11-24,1125
2020-11-24 11:30:00,255.45,2020-11-24,1130
2020-11-24 13:05:00,254.35,2020-11-24,1305
2020-11-24 13:10:00,254.5,2020-11-24,1310
2020-11-24 13:15:00,253.41,2020-11-24,1315
2020-11-24 13:20:00,253.3,2020-11-24,1320
2020-11-24 13:25:00,254.22,2020-11-24,1325
2020-11-24 13:30:00,252.9,2020-11-24,1330
2020-11-24 13:35:00,252.86,2020-11-24,1335
2020-11-24 13:40:00,252.35,2020-11-24,1340
2020-11-24 13:45:00,251.1,2020-11-24,1345
2020-11-24 13:50:00,251.18,2020-11-24,1350
2020-11-24 13:55:00,250.68,2020-11-24,1355
2020-11-24 14:00:00,252.09,2020-11-24,1400
2020-11-24 14:05:00,251.68,2020-11-24,1405
2020-11-24 14:10:00,252.36,2020-11-24,1410
2020-11-24 14:15:00,251.98,2020-11-24,1415
2020-11-24 14:20:00,252.22,2020-11-24,1420
2020-11-24 14:25:00,252.6,2020-11-24,1425
2020-11-24 14:30:00,254.5,2020-11-24,1430
2020-11-24 14:35:00,254.76,2020-11-24,1435
2020-11-24 14:40:00,254.01,2020-11-24,1440
2020-11-24 14:45:00,254.51,2020-11-24,1445
2020-11-24 14:50:00,254.6,2020-11-24,1450
2020-11-24 14:55:00,254.4,2020-11-24,1455
2020-11-24 15:00:00,254.7,2020-11-24,1500
2020-11-25 09:35:00,254.25,2020-11-25,0935
2020-11-25 09:40:00,254.93,2020-11-25,0940
2020-11-25 09:45:00,254.25,2020-11-25,0945
2020-11-25 09:50:00,255.0,2020-11-25,0950
2020-11-25 09:55:00,254.8,2020-11-25,0955
2020-11-25 10:00:00,254.31,2020-11-25,1000
2020-11-25 10:05:00,254.82,2020-11-25,1005
2020-11-25 10:10:00,255.89,2020-11-25,1010
2020-11-25 10:15:00,255.4,2020-11-25,1015
2020-11-25 10:20:00,254.41,2020-11-25,1020
2020-11-25 10:25:00,254.78,2020-11-25,1025
2020-11-25 10:30:00,254.23,2020-11-25,1030
2020-11-25 10:35:00,253.98,2020-11-25,1035
2020-11-25 10:40:00,253.3,2020-11-25,1040
2020-11-25 10:45:00,253.18,2020-11-25,1045
2020-11-25 10:50:00,252.9,2020-11-25,1050
2020-11-25 10:55:00,252.8,2020-11-25,1055
2020-11-25 11:00:00,252.65,2020-11-25,1100
2020-11-25 11:05:00,250.98,2020-11-25,1105
2020-11-25 11:10:00,250.5,2020-11-25,1110
2020-11-25 11:15:00,249.78,2020-11-25,1115
2020-11-25 11:20:00,248.77,2020-11-25,1120
2020-11-25 11:25:00,248.39,2020-11-25,1125
2020-11-25 11:30:00,248.79,2020-11-25,1130
2020-11-25 13:05:00,248.64,2020-11-25,1305
2020-11-25 13:10:00,247.6,2020-11-25,1310
2020-11-25 13:15:00,247.13,2020-11-25,1315
2020-11-25 13:20:00,246.44,2020-11-25,1320
2020-11-25 13:25:00,247.36,2020-11-25,1325
2020-11-25 13:30:00,246.21,2020-11-25,1330
2020-11-25 13:35:00,246.45,2020-11-25,1335
2020-11-25 13:40:00,245.22,2020-11-25,1340
2020-11-25 13:45:00,245.46,2020-11-25,1345
2020-11-25 13:50:00,246.03,2020-11-25,1350
2020-11-25 13:55:00,246.12,2020-11-25,1355
2020-11-25 14:00:00,246.5,2020-11-25,1400
2020-11-25 14:05:00,247.0,2020-11-25,1405
2020-11-25 14:10:00,246.32,2020-11-25,1410
2020-11-25 14:15:00,246.1,2020-11-25,1415
2020-11-25 14:20:00,246.35,2020-11-25,1420
2020-11-25 14:25:00,246.02,2020-11-25,1425
2020-11-25 14:30:00,245.27,2020-11-25,1430
2020-11-25 14:35:00,246.22,2020-11-25,1435
2020-11-25 14:40:00,244.84,2020-11-25,1440
2020-11-25 14:45:00,245.0,2020-11-25,1445
2020-11-25 14:50:00,244.41,2020-11-25,1450
2020-11-25 14:55:00,244.7,2020-11-25,1455
2020-11-25 15:00:00,246.22,2020-11-25,1500
2020-11-26 09:35:00,245.5,2020-11-26,0935
2020-11-26 09:40:00,243.11,2020-11-26,0940
2020-11-26 09:45:00,243.79,2020-11-26,0945
2020-11-26 09:50:00,243.31,2020-11-26,0950
2020-11-26 09:55:00,242.18,2020-11-26,0955
2020-11-26 10:00:00,242.51,2020-11-26,1000
2020-11-26 10:05:00,241.35,2020-11-26,1005
2020-11-26 10:10:00,240.33,2020-11-26,1010
2020-11-26 10:15:00,240.87,2020-11-26,1015
2020-11-26 10:20:00,240.19,2020-11-26,1020
2020-11-26 10:25:00,239.85,2020-11-26,1025
2020-11-26 10:30:00,241.0,2020-11-26,1030
2020-11-26 10:35:00,242.3,2020-11-26,1035
2020-11-26 10:40:00,241.21,2020-11-26,1040
2020-11-26 10:45:00,241.0,2020-11-26,1045
2020-11-26 10:50:00,240.24,2020-11-26,1050
2020-11-26 10:55:00,239.8,2020-11-26,1055
2020-11-26 11:00:00,239.72,2020-11-26,1100
2020-11-26 11:05:00,240.85,2020-11-26,1105
2020-11-26 11:10:00,242.19,2020-11-26,1110
2020-11-26 11:15:00,243.0,2020-11-26,1115
2020-11-26 11:20:00,242.7,2020-11-26,1120
2020-11-26 11:25:00,242.52,2020-11-26,1125
2020-11-26 11:30:00,242.9,2020-11-26,1130
2020-11-26 13:05:00,242.93,2020-11-26,1305
2020-11-26 13:10:00,243.32,2020-11-26,1310
2020-11-26 13:15:00,244.18,2020-11-26,1315
2020-11-26 13:20:00,243.04,2020-11-26,1320
2020-11-26 13:25:00,243.84,2020-11-26,1325
2020-11-26 13:30:00,243.07,2020-11-26,1330
2020-11-26 13:35:00,243.28,2020-11-26,1335
2020-11-26 13:40:00,243.07,2020-11-26,1340
2020-11-26 13:45:00,242.97,2020-11-26,1345
2020-11-26 13:50:00,243.07,2020-11-26,1350
2020-11-26 13:55:00,243.31,2020-11-26,1355
2020-11-26 14:00:00,243.98,2020-11-26,1400
2020-11-26 14:05:00,244.13,2020-11-26,1405
2020-11-26 14:10:00,244.02,2020-11-26,1410
2020-11-26 14:15:00,244.01,2020-11-26,1415
2020-11-26 14:20:00,243.93,2020-11-26,1420
2020-11-26 14:25:00,243.99,2020-11-26,1425
2020-11-26 14:30:00,243.96,2020-11-26,1430
2020-11-26 14:35:00,243.82,2020-11-26,1435
2020-11-26 14:40:00,243.66,2020-11-26,1440
2020-11-26 14:45:00,244.18,2020-11-26,1445
2020-11-26 14:50:00,244.62,2020-11-26,1450
2020-11-26 14:55:00,245.1,2020-11-26,1455
2020-11-26 15:00:00,245.34,2020-11-26,1500
2020-11-27 09:35:00,242.8,2020-11-27,0935
2020-11-27 09:40:00,245.48,2020-11-27,0940
2020-11-27 09:45:00,248.53,2020-11-27,0945
2020-11-27 09:50:00,245.7,2020-11-27,0950
2020-11-27 09:55:00,245.04,2020-11-27,0955
2020-11-27 10:00:00,243.37,2020-11-27,1000
2020-11-27 10:05:00,243.52,2020-11-27,1005
2020-11-27 10:10:00,243.23,2020-11-27,1010
2020-11-27 10:15:00,242.92,2020-11-27,1015
2020-11-27 10:20:00,243.52,2020-11-27,1020
2020-11-27 10:25:00,243.06,2020-11-27,1025
2020-11-27 10:30:00,242.9,2020-11-27,1030
2020-11-27 10:35:00,242.5,2020-11-27,1035
2020-11-27 10:40:00,243.19,2020-11-27,1040
2020-11-27 10:45:00,243.0,2020-11-27,1045
2020-11-27 10:50:00,243.32,2020-11-27,1050
2020-11-27 10:55:00,243.2,2020-11-27,1055
2020-11-27 11:00:00,242.52,2020-11-27,1100
2020-11-27 11:05:00,242.01,2020-11-27,1105
2020-11-27 11:10:00,241.66,2020-11-27,1110
2020-11-27 11:15:00,240.45,2020-11-27,1115
2020-11-27 11:20:00,240.57,2020-11-27,1120
2020-11-27 11:25:00,240.13,2020-11-27,1125
2020-11-27 11:30:00,240.31,2020-11-27,1130
2020-11-27 13:05:00,239.47,2020-11-27,1305
2020-11-27 13:10:00,240.03,2020-11-27,1310
2020-11-27 13:15:00,241.46,2020-11-27,1315
2020-11-27 13:20:00,240.11,2020-11-27,1320
2020-11-27 13:25:00,240.5,2020-11-27,1325
2020-11-27 13:30:00,240.5,2020-11-27,1330
2020-11-27 13:35:00,240.01,2020-11-27,1335
2020-11-27 13:40:00,240.12,2020-11-27,1340
2020-11-27 13:45:00,240.93,2020-11-27,1345
